,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Lae,PG,75.87,overcast clouds,-6.7221,146.9847,Huon Gulf Hotel
1,Rikitea,PF,77.9,broken clouds,-23.1203,-134.9692,Chez Bianca & Benoit
3,Sorong,ID,80.64,overcast clouds,-0.8833,131.25,Hotel Membramo Marina
7,Hilo,US,82.13,scattered clouds,19.7297,-155.09,Dolphin Bay Hotel
10,Mar Del Plata,AR,75.22,moderate rain,-38.0023,-57.5575,Nuevo Ostende
16,Rawson,AR,78.46,broken clouds,-43.3002,-65.1023,Hotel Deportivo
20,Lethem,GY,89.65,scattered clouds,3.3803,-59.7968,Hotel Amazonas
23,Belawan,ID,75.49,broken clouds,3.7755,98.6832,Danau Toba International Cottage Belawan
24,Lorengau,PG,81.63,overcast clouds,-2.0226,147.2712,Seeadler Bay Hotel
26,Chuy,UY,73.58,scattered clouds,-33.6971,-53.4616,Alerces
28,Avarua,CK,78.85,light rain,-21.2078,-159.775,Paradise Inn
31,San Cristobal,VE,77.18,broken clouds,7.7669,-72.225,Terra Sur
32,Puerto Ayora,EC,79.56,overcast clouds,-0.7393,-90.3518,Hostal La Mirada De Solitario George
35,Kapaa,US,80.92,clear sky,22.0752,-159.319,Pono Kai Resort
40,Hermanus,ZA,69.8,scattered clouds,-34.4187,19.2345,Aloe guest house
42,Kavieng,PG,83.64,overcast clouds,-2.5744,150.7967,Kavieng Hotel
43,Mahebourg,MU,79.09,moderate rain,-20.4081,57.7,Grand Bel Air
44,Bengkulu,ID,74.28,broken clouds,-3.8004,102.2655,Dena Hotel
45,Byron Bay,AU,72.95,clear sky,-28.65,153.6167,Lord Byron Resort
46,Geraldton,AU,72.01,scattered clouds,-28.7667,114.6,Ocean Centre Hotel
48,Vaini,TO,84.36,broken clouds,-21.2,-175.2,Keleti International Resort
50,Punta Arenas,CL,69.91,clear sky,-53.15,-70.9167,Hotel Lacolet
56,Souillac,MU,79.18,light rain,-20.5167,57.5167,Hotel SkylineInn
60,Karratha,AU,80.08,broken clouds,-20.7377,116.8463,Karratha International Hotel
61,Rio Claro,BR,76.05,heavy intensity rain,-22.4114,-47.5614,Hotel Premier
63,Port Elizabeth,ZA,80.89,clear sky,-33.918,25.5701,Waterford Hotel
71,Padang,ID,75.25,overcast clouds,-0.9492,100.3543,losmen Surya
72,Constitucion,CL,65.91,few clouds,-35.3333,-72.4167,Hostal Alameda
73,Pisco,PE,76.01,mist,-13.7,-76.2167,La Portada
78,Itacoatiara,BR,73.36,overcast clouds,-3.1431,-58.4442,Regine's Hotel
83,La Cruz,MX,73.58,scattered clouds,23.9167,-106.9,Hotel Las Palmas
84,Bartica,GY,79.12,few clouds,6.4,-58.6167,Rockville Hotel
85,Hualmay,PE,73.56,broken clouds,-11.0964,-77.6139,Hotel Mi Choacan
86,Bredasdorp,ZA,70.97,scattered clouds,-34.5322,20.0403,Victoria Hotel
88,Atuona,PF,77.99,light rain,-9.8,-139.0333,Pearl Resort
93,Ahipara,NZ,70.68,clear sky,-35.1667,173.1667,YHA Ahipara
102,Marawi,PH,66.81,overcast clouds,7.9986,124.2928,Marawi Resort Hotel
103,Honiara,SB,81.03,overcast clouds,-9.4333,159.95,King Solomon Hotel
107,Mahajanga,MG,82.42,few clouds,-15.7167,46.3167,Vahiny Hotel
109,Hithadhoo,MV,81.23,few clouds,-0.6,73.0833,Pebbles Inn
117,Georgetown,MY,80.53,few clouds,5.4112,100.3354,Page 63 hostel
120,Jacksonville Beach,US,79.07,broken clouds,30.2947,-81.3931,Margaritaville Beach Hotel
123,Kumta,IN,70.21,broken clouds,14.4167,74.4,Pandurang International
127,Vila Velha,BR,80.55,scattered clouds,-20.3297,-40.2925,Hotel Prainha
137,Cap Malheureux,MU,78.48,light rain,-19.9842,57.6142,Cape Garden
140,Lima,PE,71.85,clear sky,-12.0432,-77.0282,Hotel Peach Garden
147,Kununurra,AU,76.98,broken clouds,-15.7667,128.7333,Kununurra Country Club Resort
149,Cape Town,ZA,71.1,broken clouds,-33.9258,18.4232,Townhouse Hotel
156,Cayenne,GF,77.04,broken clouds,4.9333,-52.3333,Central Hôtel
157,Yulara,AU,75.02,clear sky,-25.2406,130.9889,Outback Pioneer Hotel & Lodge
