City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Lae,PG,-6.7221,146.9847,75.87,63,100,6.13,overcast clouds
1,Rikitea,PF,-23.1203,-134.9692,77.9,70,69,3.15,broken clouds
2,Dingle,PH,10.9995,122.6711,74.07,95,100,7.18,overcast clouds
3,Sorong,ID,-0.8833,131.25,80.64,80,97,9.71,overcast clouds
4,Pevek,RU,69.7008,170.3133,-31.2,100,100,4.54,overcast clouds
5,Saint-Louis,SN,16.3333,-15.0,80.24,12,99,10.09,overcast clouds
6,Marrakesh,MA,31.6315,-8.0083,53.67,76,20,8.05,few clouds
7,Hilo,US,19.7297,-155.09,82.13,76,40,12.66,scattered clouds
8,Provideniya,RU,64.3833,-173.3,-12.89,58,0,8.95,clear sky
9,Aykhal,RU,66.0,111.5,-47.54,100,90,1.14,overcast clouds
10,Mar Del Plata,AR,-38.0023,-57.5575,75.22,89,75,23.02,moderate rain
11,Zlobin,HR,45.2924,14.6541,37.58,79,100,4.92,light rain
12,Nikolskoye,RU,59.7035,30.7861,33.69,98,100,9.24,overcast clouds
13,Barrow,US,71.2906,-156.7887,-2.18,78,100,18.41,light snow
14,Lisakovsk,KZ,52.5369,62.4936,-4.09,76,2,5.41,clear sky
15,Bonthe,SL,7.5264,-12.505,77.36,82,20,8.41,few clouds
16,Rawson,AR,-43.3002,-65.1023,78.46,50,72,17.92,broken clouds
17,Butaritari,KI,3.0707,172.7902,80.51,80,9,13.85,light rain
18,Sovetskiy,RU,61.3614,63.5842,6.04,98,36,3.18,scattered clouds
19,Killybegs,IE,54.6333,-8.45,39.25,63,91,9.91,light rain
20,Lethem,GY,3.3803,-59.7968,89.65,51,40,13.8,scattered clouds
21,Busselton,AU,-33.65,115.3333,59.31,72,11,14.58,few clouds
22,Sekoma,BW,-24.4,23.8833,73.53,52,3,7.67,clear sky
23,Belawan,ID,3.7755,98.6832,75.49,87,64,4.7,broken clouds
24,Lorengau,PG,-2.0226,147.2712,81.63,78,100,7.52,overcast clouds
25,Tarko-Sale,RU,64.9225,77.785,-9.92,99,74,6.67,broken clouds
26,Chuy,UY,-33.6971,-53.4616,73.58,69,50,12.5,scattered clouds
27,Bethel,US,41.3712,-73.414,48.29,53,20,13.8,few clouds
28,Avarua,CK,-21.2078,-159.775,78.85,89,100,12.66,light rain
29,Katsuura,JP,35.1333,140.3,45.97,72,100,15.43,overcast clouds
30,Tatvan,TR,38.5067,42.2817,29.86,81,28,5.01,scattered clouds
31,San Cristobal,VE,7.7669,-72.225,77.18,63,65,1.83,broken clouds
32,Puerto Ayora,EC,-0.7393,-90.3518,79.56,87,98,5.01,overcast clouds
33,Magadan,RU,59.5667,150.8,-14.21,77,100,11.97,overcast clouds
34,Albany,US,42.6001,-73.9662,42.06,79,100,10.0,overcast clouds
35,Kapaa,US,22.0752,-159.319,80.92,76,0,5.75,clear sky
36,Severo-Kurilsk,RU,50.6789,156.125,15.75,60,100,27.11,light snow
37,Fortuna,US,40.5982,-124.1573,47.93,95,100,9.22,heavy intensity rain
38,Upernavik,GL,72.7868,-56.1549,-16.42,78,99,5.1,overcast clouds
39,Eyrarbakki,IS,63.863,-21.1481,8.65,71,22,8.63,few clouds
